Re,f pressure,f free sureface,CW press,CW free
1,64,24,12.4177,12.4177
2,32,12,4.69906,4.69906
4,16,6,2.04888,2.04888
8,8,3,1.01949,1.01949
16,4,1.5,0.568223,0.568223
32,2,0.75,0.347881,0.347881
64,1,0.375,0.230189,0.230189
128,0.5,0.1875,0.162738,0.162738
256,0.25,0.0937427,0.122088,0.122088
512,0.125,0.0475484,0.0968938,0.0968938
1024,0.0625005,0.0432519,0.0812362,0.0812362
2048,0.0326619,0.0366837,0.0717269,0.0717269
4096,0.0468601,0.0336411,0.0661906,0.0661906
8192,0.0517657,0.0345598,0.063118,0.063118
16384,0.0562456,0.0365101,0.0614804,0.0614804
32768,0.0587555,0.037689,0.0606317,0.0606317
65536,0.0597652,0.0381823,0.0601991,0.0601991
131072,0.0601202,0.0383605,0.0599807,0.0599807
262144,0.0602377,0.0384208,0.0598709,0.0598709
524288,0.0602755,0.0384405,0.0598159,0.0598159
1.04858e+06,0.0602874,0.0384468,0.0597883,0.0597883
2.09715e+06,0.0602911,0.0384488,0.0597746,0.0597746
4.1943e+06,0.0602922,0.0384494,0.0597677,0.0597677
8.38861e+06,0.0602926,0.0384496,0.0597642,0.0597642
1.67772e+07,0.0602927,0.0384496,0.0597625,0.0597625
3.35544e+07,0.0602927,0.0384497,0.0597616,0.0597616
6.71089e+07,0.0602927,0.0384497,0.0597612,0.0597612
1.34218e+08,0.0602927,0.0384497,0.059761,0.059761
2.68435e+08,0.0602927,0.0384497,0.0597609,0.0597609
5.36871e+08,0.0602927,0.0384497,0.0597608,0.0597608
