X,INV,HGL
0,0,5
1,0,5.02346
2,0,5.02346
3,0,5.02346
4,0,5.02346
5,0,5.02346
6,0,5.02346
7,0,5.02346
8,0,5.02346
9,0,5.02346
10,0,5.02346
11,0,5.02346
12,0,5.02346
13,0,5.02346
14,0,5.02346
15,0,5.02346
16,0,5.02346
17,0,5.02346
18,0,5.02346
19,0,5.02346
20,0,5.02346
21,0,5.02346
22,0,5.02346
23,0,5.02346
24,0,5.02346
25,0,5.02346
26,0,5.02346
27,0,5.02346
28,0,5.02346
29,0,5.02346
30,0,5.02346
31,0,5.02346
32,0,5.02346
33,0,5.02346
34,0,5.02346
35,0,5.02346
36,0,5.02346
37,0,5.02346
38,0,5.02346
39,0,5.02346
40,0,5.02346
41,0,5.02346
42,0,5.02346
43,0,5.02346
44,0,5.02346
45,0,5.02346
46,0,5.02346
47,0,5.02346
48,0,5.02346
49,0,5.02346
50,0,5.02346
51,0,5.02346
52,0,5.02346
53,0,5.02346
54,0,5.02346
55,0,5.02346
56,0,5.02346
57,0,5.02346
58,0,5.02346
59,0,5.02346
60,0,5.02346
61,0,5.02346
62,0,5.02346
63,0,5.02346
64,0,5.02346
65,0,5.02346
66,0,5.02346
67,0,5.02346
68,0,5.02346
69,0,5.02346
70,0,5.02346
71,0,5.02346
72,0,5.02346
73,0,5.02346
74,0,5.02346
75,0,5.02346
76,0,5.02346
77,0,5.02346
78,0,5.02346
79,0,5.02346
80,0,5.02346
81,0,5.02346
82,0,5.02346
83,0,5.02346
84,0,5.02346
85,0,5.02346
86,0,5.02346
87,0,5.02346
88,0,5.02346
89,0,5.02346
90,0,5.02346
91,0,5.02346
92,0,5.02346
93,0,5.02346
94,0,5.02346
95,0,5.02346
96,0,5.02346
97,0,5.02346
98,0,5.02346
99,0,5.02346
100,0,5.02346
101,0.11,2.51122
200,11,15.915
199,10.89,15.686
198,10.78,15.4863
197,10.67,15.2866
196,10.56,15.0871
195,10.45,14.888
194,10.34,14.6893
193,10.23,14.4912
192,10.12,14.2937
191,10.01,14.0971
190,9.9,13.9015
189,9.79,13.7068
188,9.68,13.5134
187,9.57,13.3213
186,9.46,13.1306
185,9.35,12.9416
184,9.24,12.7543
183,9.13,12.5689
182,9.02,12.3856
181,8.91,12.2046
180,8.8,12.0259
179,8.69,11.8499
178,8.58,11.6766
177,8.47,11.5061
176,8.36,11.3387
175,8.25,11.1744
174,8.14,11.0133
173,8.03,10.8556
172,7.92,10.7011
171,7.81,10.55
170,7.7,10.4023
169,7.59,10.2577
168,7.48,10.1163
167,7.37,9.9779
166,7.26,9.84237
165,7.15,9.70953
164,7.04,9.5792
163,6.93,9.45118
162,6.82,9.32529
161,6.71,9.20132
160,6.6,9.07908
159,6.49,8.9584
158,6.38,8.8391
157,6.27,8.72102
156,6.16,8.60403
155,6.05,8.48798
154,5.94,8.37276
153,5.83,8.25826
152,5.72,8.14439
151,5.61,8.03106
150,5.5,7.9182
149,5.39,7.80575
148,5.28,7.69365
147,5.17,7.58184
146,5.06,7.4703
145,4.95,7.35898
144,4.84,7.24785
143,4.73,7.13689
142,4.62,7.02606
141,4.51,6.91535
140,4.4,6.80475
139,4.29,6.69424
138,4.18,6.5838
137,4.07,6.47342
136,3.96,6.3631
135,3.85,6.25282
134,3.74,6.14259
133,3.63,6.03239
132,3.52,5.92222
131,3.41,5.81207
130,3.3,5.70195
129,3.19,5.59184
128,3.08,5.48175
127,2.97,5.37168
126,2.86,5.26161
125,2.75,5.15155
124,2.64,5.0415
123,2.53,4.93146
122,2.42,4.82143
121,2.31,4.7114
120,2.2,4.60137
119,2.09,4.49135
118,1.98,4.38133
117,1.87,4.27132
116,1.76,4.1613
115,1.65,4.05129
114,1.54,3.94128
113,1.43,3.83127
112,1.32,3.72127
111,1.21,3.61126
110,1.1,3.50126
109,0.99,3.39125
108,0.88,3.28125
107,0.77,3.17124
106,0.66,3.06124
105,0.55,2.95124
104,0.44,2.84124
103,0.33,2.73123
102,0.22,2.62123
101,0.11,2.51123
201,11.005,16.0235
202,11.01,16.0285
203,11.015,16.0335
204,11.02,16.0385
205,11.025,16.0435
206,11.03,16.0485
207,11.035,16.0535
208,11.04,16.0585
209,11.045,16.0635
210,11.05,16.0685
211,11.055,16.0735
212,11.06,16.0785
213,11.065,16.0835
214,11.07,16.0885
215,11.075,16.0935
216,11.08,16.0985
217,11.085,16.1035
218,11.09,16.1085
219,11.095,16.1135
220,11.1,16.1185
221,11.105,16.1235
222,11.11,16.1285
223,11.115,16.1335
224,11.12,16.1385
225,11.125,16.1435
226,11.13,16.1485
227,11.135,16.1535
228,11.14,16.1585
229,11.145,16.1635
230,11.15,16.1685
231,11.155,16.1735
232,11.16,16.1785
233,11.165,16.1835
234,11.17,16.1885
235,11.175,16.1935
236,11.18,16.1985
237,11.185,16.2035
238,11.19,16.2085
239,11.195,16.2135
240,11.2,16.2185
241,11.205,16.2235
242,11.21,16.2285
243,11.215,16.2335
244,11.22,16.2385
245,11.225,16.2435
246,11.23,16.2485
247,11.235,16.2535
248,11.24,16.2585
249,11.245,16.2635
250,11.25,16.2685
251,11.255,16.2735
252,11.26,16.2785
253,11.265,16.2835
254,11.27,16.2885
255,11.275,16.2935
256,11.28,16.2985
257,11.285,16.3035
258,11.29,16.3085
259,11.295,16.3135
260,11.3,16.3185
261,11.305,16.3235
262,11.31,16.3285
263,11.315,16.3335
264,11.32,16.3385
265,11.325,16.3435
266,11.33,16.3485
267,11.335,16.3535
268,11.34,16.3585
269,11.345,16.3635
