X,HGL
0,0.420014
0.01,0.420072
0.02,0.42013
0.03,0.420188
0.04,0.420245
0.05,0.420303
0.06,0.420361
0.07,0.420418
0.08,0.420476
0.09,0.420533
0.1,0.420591
0.11,0.420649
0.12,0.420706
0.13,0.420764
0.14,0.420821
0.15,0.420878
0.16,0.420936
0.17,0.420993
0.18,0.421051
0.19,0.421108
0.2,0.421165
0.21,0.421223
0.22,0.42128
0.23,0.421337
0.24,0.423743
0.25,0.425002
0.26,0.425989
0.27,0.426829
0.28,0.427572
0.29,0.428246
0.3,0.428867
0.31,0.429445
0.32,0.429989
0.33,0.430503
0.34,0.430993
0.35,0.431461
0.36,0.431909
0.37,0.432341
0.38,0.432758
0.39,0.433161
0.4,0.433551
0.41,0.433931
0.42,0.434299
0.43,0.434659
0.44,0.435009
0.45,0.435351
0.46,0.435685
0.47,0.436012
0.48,0.436332
0.49,0.436646
0.5,0.436953
0.51,0.437255
0.52,0.437552
0.53,0.437843
0.54,0.43813
0.55,0.438412
0.56,0.43869
0.57,0.438963
0.58,0.439232
0.59,0.439498
0.6,0.439759
0.61,0.440018
0.62,0.440272
0.63,0.440524
0.64,0.440772
0.65,0.441017
0.66,0.441259
0.67,0.441499
0.68,0.441736
0.69,0.44197
0.7,0.442201
0.71,0.44243
0.72,0.442657
0.73,0.442881
0.74,0.443103
0.75,0.443322
0.76,0.44354
0.77,0.443756
0.78,0.443969
0.79,0.444181
0.8,0.44439
0.81,0.444598
0.82,0.444804
0.83,0.445008
0.84,0.445211
0.85,0.445411
0.86,0.445611
0.87,0.445808
0.88,0.446004
0.89,0.446198
0.9,0.446391
0.91,0.446583
0.92,0.446773
0.93,0.446961
0.94,0.447149
0.95,0.447335
0.96,0.447519
0.97,0.447703
0.98,0.447885
0.99,0.448065
1,0.448245
1.01,0.448423
1.02,0.448601
1.03,0.448777
1.04,0.448952
1.05,0.449126
1.06,0.449299
1.07,0.44947
1.08,0.449641
1.09,0.449811
1.1,0.449979
1.11,0.450147
1.12,0.450314
1.13,0.45048
1.14,0.450644
1.15,0.450808
1.16,0.450971
1.17,0.451133
1.18,0.451295
1.19,0.451455
1.2,0.451615
1.21,0.451773
1.22,0.451931
1.23,0.452088
1.24,0.452244
1.25,0.4524
1.26,0.452554
1.27,0.452708
1.28,0.452861
1.29,0.453014
1.3,0.453165
1.31,0.453316
1.32,0.453467
1.33,0.453616
1.34,0.453765
1.35,0.453913
1.36,0.45406
1.37,0.454207
1.38,0.454353
1.39,0.454499
1.4,0.454644
1.41,0.454788
1.42,0.454931
1.43,0.455074
1.44,0.455217
1.45,0.455359
1.46,0.4555
1.47,0.45564
1.48,0.45578
1.49,0.45592
1.5,0.456058
1.51,0.456197
1.52,0.456334
1.53,0.456472
1.54,0.456608
1.55,0.456744
1.56,0.45688
1.57,0.457015
1.58,0.45715
1.59,0.457284
1.6,0.457417
1.61,0.45755
1.62,0.457683
1.63,0.457815
1.64,0.457946
1.65,0.458077
1.66,0.458208
1.67,0.458338
1.68,0.458468
1.69,0.458597
1.7,0.458726
1.71,0.458854
1.72,0.458982
1.73,0.45911
1.74,0.459237
1.75,0.459363
